OrderID,CustomerID,ProductID,Quantity,TotalPriceBeforeTax,GSTAmount,TaxAmount,TotalPriceAfterTax,OrderDate,DeliveryStatus,PaymentStatus,DeliveryAddress
8437c90f,517,237,8,1614.24,193.71,8.61,1816.56,2023-07-02,Delivered,Paid,"250 Hardware Lane, East"
25985145,649,90,8,3156.56,157.83,43.95,3358.34,2023-07-08,Shipped,Unpaid,"705 Hardware Lane, Central"
423bf5ab,564,44,3,30.36,3.64,20.67,54.67,2023-04-30,Pending,Paid,"960 Hardware Lane, Central"
428944b1,860,226,1,428.17,21.41,33.36,482.94,2023-12-04,Delivered,Unpaid,"469 Hardware Lane, Central"
f5f5e044,718,121,1,201.22,36.22,20.22,257.66,2023-06-13,Pending,Unpaid,"587 Hardware Lane, East"
1a91d633,461,309,1,109.96,5.5,47.67,163.13,2023-05-03,Shipped,Paid,"997 Hardware Lane, East"
7a6984a7,631,196,6,123.72,6.19,47.98,177.89,2023-12-06,Pending,Unpaid,"102 Hardware Lane, North"
6341a616,850,174,10,533.1,95.96,23.58,652.64,2023-02-08,Pending,Paid,"772 Hardware Lane, South"
96e088e8,957,311,10,3194.1,159.71,47.86,3401.67,2023-12-26,Delivered,Unpaid,"767 Hardware Lane, East"
b90df8c5,373,134,9,396.54,47.58,34.26,478.38,2023-02-18,Shipped,Paid,"903 Hardware Lane, Central"
f7d9d333,666,20,1,461.96,23.1,32.98,518.04,2023-05-10,Pending,Paid,"226 Hardware Lane, Central"
3db83fe7,713,112,5,1707.25,307.3,2.88,2017.43,2023-11-09,Delivered,Paid,"678 Hardware Lane, West"
8a90215a,949,111,6,2993.64,149.68,40.58,3183.9,2023-09-14,Shipped,Unpaid,"575 Hardware Lane, Central"
eea9562c,87,212,9,1062.72,53.14,14.57,1130.43,2023-06-05,Delivered,Unpaid,"528 Hardware Lane, East"
6a269a7f,2,269,9,4253.67,510.44,49.34,4813.45,2023-12-24,Pending,Unpaid,"608 Hardware Lane, South"
1a4a9814,426,100,6,1004.82,180.87,10.4,1196.09,2023-02-19,Pending,Paid,"500 Hardware Lane, South"
79c61e29,368,280,9,829.08,99.49,14.52,943.09,2023-04-05,Shipped,Unpaid,"146 Hardware Lane, North"
75e19f6b,88,351,9,3466.98,173.35,37.65,3677.98,2023-05-18,Shipped,Unpaid,"962 Hardware Lane, North"
bf42f107,545,285,7,1264.83,151.78,22.36,1438.97,2023-01-05,Pending,Unpaid,"467 Hardware Lane, East"
4f29135a,30,355,5,1549.4,185.93,16.6,1751.93,2023-04-01,Pending,Unpaid,"976 Hardware Lane, Central"
6f69c528,272,321,2,681.76,81.81,19.44,783.01,2023-09-05,Shipped,Paid,"312 Hardware Lane, South"
ebd621d0,587,318,4,1148.84,57.44,1.23,1207.51,2023-08-19,Pending,Paid,"105 Hardware Lane, North"
24270e93,744,24,8,1457.6,174.91,1.03,1633.54,2023-07-07,Delivered,Unpaid,"589 Hardware Lane, Central"
cec4f312,74,175,7,2913.05,349.57,32.54,3295.16,2023-04-23,Shipped,Paid,"559 Hardware Lane, South"
f96aae4d,369,390,3,239.79,28.77,38.84,307.4,2023-12-23,Shipped,Paid,"467 Hardware Lane, North"
776cd4b0,774,54,1,361.4,43.37,47.78,452.55,2023-01-11,Pending,Paid,"344 Hardware Lane, South"
5ff688c4,529,364,5,1510.95,75.55,40.43,1626.93,2023-02-08,Delivered,Unpaid,"775 Hardware Lane, North"
49534b9f,80,209,2,939.08,46.95,13.43,999.46,2023-10-12,Pending,Paid,"248 Hardware Lane, Central"
5723eb9c,8,287,7,1482.74,74.14,5.61,1562.49,2023-12-19,Pending,Unpaid,"683 Hardware Lane, West"
66aec45b,77,290,6,219.42,10.97,24.57,254.96,2023-03-20,Shipped,Unpaid,"867 Hardware Lane, West"
2d853c21,835,374,8,2503.04,125.15,24.1,2652.29,2023-05-07,Delivered,Paid,"740 Hardware Lane, East"
66b818fd,11,68,10,4629.7,833.35,48.13,5511.18,2023-10-05,Delivered,Paid,"280 Hardware Lane, South"
7a4d4a5a,920,77,4,1369.96,246.59,31.77,1648.32,2023-02-27,Shipped,Unpaid,"253 Hardware Lane, North"
eb2f8eab,12,320,10,3305.7,595.03,35.67,3936.4,2023-12-23,Shipped,Unpaid,"754 Hardware Lane, East"
8401cbdf,418,119,7,2641.87,475.54,35.92,3153.33,2023-09-07,Shipped,Paid,"865 Hardware Lane, East"
b137780e,515,106,3,1224.3,61.22,22.32,1307.84,2023-02-15,Pending,Paid,"876 Hardware Lane, East"
6faca9a0,375,48,3,853.89,153.7,12.39,1019.98,2023-02-09,Shipped,Unpaid,"243 Hardware Lane, Central"
db21f51c,643,36,5,1743.8,209.26,35.77,1988.83,2023-05-22,Pending,Paid,"575 Hardware Lane, North"
6e2cd1ee,754,266,2,851.68,42.58,23.86,918.12,2023-04-30,Delivered,Unpaid,"139 Hardware Lane, East"
4bec3645,991,86,6,2739.66,493.14,47.5,3280.3,2023-10-27,Delivered,Paid,"724 Hardware Lane, West"
5c3f9e74,792,360,9,1898.73,341.77,6.66,2247.16,2023-04-29,Pending,Paid,"916 Hardware Lane, North"
a0399360,743,77,9,3082.41,554.83,23.97,3661.21,2023-07-04,Shipped,Paid,"424 Hardware Lane, Central"
ae17674b,174,47,2,568.66,68.24,1.18,638.08,2023-08-12,Shipped,Unpaid,"866 Hardware Lane, South"
cd5ba94d,876,73,2,48.44,2.42,46.23,97.09,2023-06-26,Shipped,Unpaid,"766 Hardware Lane, West"
485876e4,623,213,8,3928.48,471.42,15.6,4415.5,2023-01-12,Delivered,Unpaid,"442 Hardware Lane, East"
a2bd8318,310,168,8,1822.08,218.65,39.07,2079.8,2023-09-03,Pending,Paid,"359 Hardware Lane, Central"
14e12ba7,236,42,7,1729.07,207.49,9.64,1946.2,2023-10-03,Shipped,Unpaid,"878 Hardware Lane, South"
50dbaf07,670,310,4,1340.96,241.37,18.25,1600.58,2023-04-26,Delivered,Unpaid,"625 Hardware Lane, East"
0fa0d603,94,390,10,799.3,95.92,43.52,938.74,2023-07-16,Delivered,Unpaid,"944 Hardware Lane, North"
a5cb891d,704,352,3,1409.61,253.73,12.81,1676.15,2023-08-31,Shipped,Unpaid,"181 Hardware Lane, South"
c34967df,402,290,10,365.7,18.28,18.81,402.79,2023-12-28,Delivered,Unpaid,"806 Hardware Lane, Central"
ab5b857e,407,70,2,160.26,19.23,47.76,227.25,2023-09-27,Shipped,Unpaid,"732 Hardware Lane, West"
262a1b73,265,278,3,711.27,85.35,5.79,802.41,2023-04-13,Pending,Paid,"265 Hardware Lane, West"
26658039,698,234,3,678.24,33.91,45.19,757.34,2023-07-02,Shipped,Unpaid,"944 Hardware Lane, North"
8f2e455f,291,310,9,3017.16,543.09,28.58,3588.83,2023-03-02,Pending,Paid,"115 Hardware Lane, East"
f8fcf89f,767,106,8,3264.8,163.24,6.97,3435.01,2023-11-23,Delivered,Unpaid,"250 Hardware Lane, West"
b3f2464c,919,265,5,1578.55,189.43,34.0,1801.98,2023-05-17,Pending,Paid,"957 Hardware Lane, North"
779213af,707,192,6,2465.28,295.83,1.82,2762.93,2023-11-19,Pending,Paid,"914 Hardware Lane, West"
d1282bf9,44,223,2,240.22,43.24,12.88,296.34,2023-12-20,Pending,Unpaid,"844 Hardware Lane, Central"
944820ed,2,229,9,2860.56,514.9,49.74,3425.2,2023-12-09,Delivered,Unpaid,"933 Hardware Lane, South"
bbab8f63,334,348,9,267.66,48.18,19.04,334.88,2023-10-31,Delivered,Unpaid,"111 Hardware Lane, East"
abd86fb8,489,76,5,2318.65,278.24,25.84,2622.73,2023-02-06,Shipped,Unpaid,"144 Hardware Lane, West"
db062ed7,908,398,3,280.47,50.48,15.96,346.91,2023-07-03,Shipped,Paid,"437 Hardware Lane, South"
7ce4edfe,878,300,7,1036.0,51.8,47.64,1135.44,2023-05-07,Shipped,Paid,"619 Hardware Lane, North"
2ec8a9dd,95,374,9,2815.92,140.8,32.53,2989.25,2023-07-02,Delivered,Paid,"815 Hardware Lane, Central"
d10ef884,673,278,10,2370.9,284.51,20.4,2675.81,2023-10-28,Pending,Unpaid,"713 Hardware Lane, Central"
0c1fd5dd,789,141,10,3934.9,472.19,8.32,4415.41,2023-05-15,Pending,Paid,"325 Hardware Lane, South"
d3f17826,898,117,4,760.28,91.23,22.91,874.42,2023-12-24,Delivered,Paid,"513 Hardware Lane, South"
d72e6b8f,425,112,2,682.9,122.92,33.77,839.59,2023-03-29,Delivered,Paid,"553 Hardware Lane, West"
a1cc17e4,229,380,3,347.49,17.37,40.92,405.78,2023-08-24,Pending,Unpaid,"881 Hardware Lane, West"
f869a3ea,902,399,7,1929.27,231.51,2.05,2162.83,2023-02-06,Delivered,Paid,"215 Hardware Lane, Central"
917bfa7b,893,314,1,237.29,42.71,13.35,293.35,2023-04-22,Pending,Paid,"476 Hardware Lane, East"
3a284451,218,191,7,1621.97,81.1,33.11,1736.18,2023-10-15,Delivered,Paid,"748 Hardware Lane, North"
8b116c72,398,345,3,782.4,39.12,19.81,841.33,2023-02-26,Delivered,Paid,"388 Hardware Lane, North"
67a442c0,35,100,1,167.47,30.14,11.23,208.84,2023-01-06,Delivered,Paid,"870 Hardware Lane, Central"
453b6a16,422,98,7,2052.26,102.61,17.82,2172.69,2023-05-31,Delivered,Unpaid,"305 Hardware Lane, South"
c9333466,454,20,7,3233.72,161.69,2.6,3398.01,2023-08-24,Pending,Unpaid,"986 Hardware Lane, Central"
826f7fec,750,43,4,698.2,125.68,16.87,840.75,2023-04-27,Delivered,Paid,"493 Hardware Lane, West"
aebbc6aa,933,16,9,1273.23,63.66,47.19,1384.08,2023-12-30,Delivered,Paid,"356 Hardware Lane, North"
7d30ec75,172,342,5,249.55,29.95,24.3,303.8,2023-03-06,Shipped,Unpaid,"497 Hardware Lane, East"
f159d1e9,701,235,1,99.2,11.9,17.98,129.08,2023-01-06,Pending,Unpaid,"680 Hardware Lane, Central"
ac730da4,126,233,4,193.36,9.67,24.16,227.19,2023-11-08,Shipped,Paid,"559 Hardware Lane, North"
46d57c99,714,206,10,4976.1,248.8,6.59,5231.49,2023-07-26,Delivered,Unpaid,"706 Hardware Lane, Central"
231d9bd5,509,330,1,203.34,36.6,42.41,282.35,2023-05-24,Pending,Unpaid,"946 Hardware Lane, West"
ed6df7a0,225,9,1,239.42,43.1,31.39,313.91,2023-06-23,Shipped,Paid,"681 Hardware Lane, South"
c0b5eb54,411,132,9,3759.93,188.0,45.45,3993.38,2023-06-14,Shipped,Unpaid,"494 Hardware Lane, South"
d59c7eba,597,383,8,562.32,101.22,13.01,676.55,2023-01-25,Shipped,Paid,"811 Hardware Lane, East"
8045df3c,574,94,4,879.08,158.23,2.84,1040.15,2023-02-18,Pending,Paid,"811 Hardware Lane, South"
744068eb,423,153,9,3113.91,155.7,21.61,3291.22,2023-09-18,Shipped,Paid,"209 Hardware Lane, South"
c065d217,403,119,10,3774.1,679.34,7.01,4460.45,2023-03-08,Delivered,Paid,"678 Hardware Lane, East"
5af94f40,483,251,7,2866.5,143.32,25.79,3035.61,2023-03-09,Delivered,Unpaid,"945 Hardware Lane, Central"
bdf228d2,306,188,10,3289.9,394.79,6.59,3691.28,2023-07-08,Pending,Unpaid,"339 Hardware Lane, East"
9e5aa116,388,38,9,3005.73,541.03,31.37,3578.13,2023-02-10,Delivered,Unpaid,"786 Hardware Lane, South"
51d304e3,596,35,6,2222.1,399.98,8.91,2630.99,2023-01-30,Shipped,Paid,"309 Hardware Lane, Central"
52cba42b,46,28,7,2992.01,359.04,40.61,3391.66,2023-01-14,Shipped,Unpaid,"622 Hardware Lane, North"
812def84,536,382,1,405.98,20.3,3.35,429.63,2023-03-10,Delivered,Paid,"442 Hardware Lane, North"
27829a94,811,338,1,333.17,59.97,8.29,401.43,2023-10-05,Shipped,Unpaid,"545 Hardware Lane, North"
137509d7,842,244,10,965.6,115.87,13.51,1094.98,2023-06-30,Delivered,Unpaid,"773 Hardware Lane, North"
6d895c84,920,363,10,2803.3,504.59,43.69,3351.58,2023-10-31,Delivered,Paid,"887 Hardware Lane, Central"
0bfa65c7,476,47,2,568.66,68.24,21.07,657.97,2023-04-28,Shipped,Paid,"126 Hardware Lane, West"
901ef7ef,452,135,8,1033.12,51.66,2.58,1087.36,2023-01-15,Pending,Unpaid,"657 Hardware Lane, West"
9922f220,420,42,7,1729.07,207.49,19.72,1956.28,2023-09-09,Pending,Unpaid,"138 Hardware Lane, West"
dd1d3302,661,352,5,2349.35,422.88,31.06,2803.29,2023-03-08,Pending,Unpaid,"538 Hardware Lane, East"
073f2687,700,174,3,159.93,28.79,37.75,226.47,2023-05-07,Pending,Paid,"924 Hardware Lane, West"
1c9de8e2,605,148,8,2472.72,123.64,24.43,2620.79,2023-05-16,Delivered,Paid,"334 Hardware Lane, Central"
b3d72199,147,214,2,506.5,91.17,45.44,643.11,2023-11-17,Shipped,Paid,"549 Hardware Lane, South"
50cf151e,406,369,5,1317.8,237.2,15.9,1570.9,2023-04-01,Shipped,Unpaid,"135 Hardware Lane, Central"
7eb0b15f,704,213,10,4910.6,589.27,17.27,5517.14,2023-07-25,Shipped,Paid,"419 Hardware Lane, West"
56d78370,638,383,9,632.61,113.87,14.16,760.64,2023-05-09,Pending,Paid,"572 Hardware Lane, North"
25333e15,144,119,5,1887.05,339.67,46.42,2273.14,2023-06-07,Shipped,Unpaid,"500 Hardware Lane, East"
090372e3,86,252,4,1993.12,358.76,32.65,2384.53,2023-07-24,Shipped,Unpaid,"400 Hardware Lane, North"
3b67aa0e,936,208,10,4411.1,529.33,47.28,4987.71,2023-11-16,Pending,Unpaid,"905 Hardware Lane, South"
b3cd7add,654,224,9,1166.67,58.33,28.68,1253.68,2023-12-14,Shipped,Unpaid,"687 Hardware Lane, West"
be8f4d92,431,52,8,3615.44,650.78,26.81,4293.03,2023-03-25,Pending,Unpaid,"537 Hardware Lane, West"
963557aa,187,83,4,1088.24,130.59,29.36,1248.19,2023-12-17,Shipped,Unpaid,"482 Hardware Lane, West"
941536b2,595,249,6,1077.9,129.35,8.18,1215.43,2023-11-30,Shipped,Paid,"214 Hardware Lane, East"
177cedb2,59,254,6,2292.54,412.66,42.24,2747.44,2023-10-19,Pending,Paid,"349 Hardware Lane, East"
6b1a835a,104,162,6,82.8,14.9,16.87,114.57,2023-08-06,Delivered,Unpaid,"772 Hardware Lane, South"
3afa1118,178,127,3,165.09,8.25,24.55,197.89,2023-05-18,Shipped,Unpaid,"410 Hardware Lane, South"
3b98ff8c,849,156,6,1641.9,197.03,34.04,1872.97,2023-11-18,Shipped,Unpaid,"759 Hardware Lane, East"
45dbebef,55,391,7,674.87,33.74,23.48,732.09,2023-11-15,Delivered,Paid,"187 Hardware Lane, North"
b4976c44,114,355,10,3098.8,371.86,11.47,3482.13,2023-06-11,Delivered,Paid,"955 Hardware Lane, South"
f1c988e8,325,346,4,301.88,15.09,47.45,364.42,2023-02-12,Delivered,Paid,"934 Hardware Lane, Central"
665fc1f6,200,304,1,93.75,4.69,39.2,137.64,2023-01-11,Delivered,Paid,"623 Hardware Lane, North"
3478910e,549,350,7,3388.14,609.87,20.44,4018.45,2023-12-03,Shipped,Paid,"113 Hardware Lane, Central"
36d5b1f9,257,188,10,3289.9,394.79,9.96,3694.65,2023-02-16,Delivered,Unpaid,"729 Hardware Lane, East"
0a44020f,899,394,10,4635.2,231.76,34.32,4901.28,2023-03-11,Delivered,Paid,"448 Hardware Lane, East"
84ecc769,937,112,4,1365.8,245.84,29.26,1640.9,2023-12-07,Shipped,Unpaid,"250 Hardware Lane, South"
addfd2f0,251,270,8,3984.88,199.24,24.85,4208.97,2023-10-08,Pending,Paid,"713 Hardware Lane, East"
68f84452,88,105,6,2427.96,121.4,7.79,2557.15,2023-03-18,Pending,Paid,"133 Hardware Lane, West"
166d1e28,377,252,8,3986.24,717.52,47.83,4751.59,2023-10-10,Pending,Unpaid,"331 Hardware Lane, East"
5bc99671,792,218,1,73.05,8.77,41.22,123.04,2023-08-23,Delivered,Paid,"499 Hardware Lane, West"
39d131d6,623,100,8,1339.76,241.16,20.12,1601.04,2023-12-05,Shipped,Paid,"369 Hardware Lane, South"
053a6f8e,477,340,10,3388.9,406.67,40.68,3836.25,2023-11-20,Pending,Unpaid,"944 Hardware Lane, North"
d9b172b1,182,334,10,1267.6,152.11,21.5,1441.21,2023-02-04,Delivered,Unpaid,"713 Hardware Lane, West"
12e59582,767,354,3,894.36,160.98,4.86,1060.2,2023-12-29,Shipped,Unpaid,"544 Hardware Lane, Central"
cf5ff2a9,348,180,3,815.1,146.72,45.92,1007.74,2023-12-25,Delivered,Paid,"824 Hardware Lane, West"
18ed33ef,51,121,1,201.22,36.22,45.85,283.29,2023-08-15,Delivered,Paid,"837 Hardware Lane, East"
b228eefd,593,276,2,254.6,30.55,12.71,297.86,2023-01-09,Shipped,Unpaid,"551 Hardware Lane, North"
3fe19215,975,143,8,1317.84,65.89,10.51,1394.24,2023-12-21,Shipped,Unpaid,"769 Hardware Lane, Central"
d3f66e45,331,149,10,731.0,131.58,37.32,899.9,2023-01-19,Shipped,Unpaid,"207 Hardware Lane, East"
b9b1ae7c,476,326,4,1350.56,243.1,7.79,1601.45,2023-06-23,Delivered,Paid,"646 Hardware Lane, Central"
92475d83,324,69,5,1034.15,186.15,7.66,1227.96,2023-04-14,Shipped,Paid,"998 Hardware Lane, West"
eac8e8e7,425,78,4,1207.04,60.35,27.75,1295.14,2023-03-18,Shipped,Unpaid,"557 Hardware Lane, Central"
94e41014,942,62,5,976.15,117.14,40.27,1133.56,2023-06-10,Delivered,Paid,"405 Hardware Lane, North"
68ac717f,820,148,2,618.18,30.91,27.37,676.46,2023-08-09,Shipped,Unpaid,"545 Hardware Lane, Central"
2dbfdf04,201,284,10,762.9,91.55,4.16,858.61,2023-02-14,Pending,Paid,"372 Hardware Lane, West"
d126797a,164,198,9,4245.93,764.27,1.68,5011.88,2023-08-29,Delivered,Paid,"103 Hardware Lane, Central"
83fff946,381,238,2,386.18,46.34,42.86,475.38,2023-07-16,Shipped,Paid,"597 Hardware Lane, West"
4f2abc23,877,130,4,819.8,147.56,18.96,986.32,2023-11-17,Pending,Paid,"758 Hardware Lane, West"
a39bbb01,148,392,4,812.2,146.2,32.36,990.76,2023-01-30,Pending,Unpaid,"303 Hardware Lane, East"
2ec49ff6,311,64,9,4364.28,523.71,22.24,4910.23,2023-04-24,Pending,Paid,"582 Hardware Lane, West"
0be805f3,485,237,2,403.56,48.43,21.31,473.3,2023-04-06,Delivered,Unpaid,"773 Hardware Lane, Central"
4c0c52c5,278,85,3,894.3,107.32,43.26,1044.88,2023-11-13,Shipped,Unpaid,"681 Hardware Lane, East"
77bd092e,447,294,3,793.95,39.7,12.92,846.57,2023-09-11,Pending,Unpaid,"624 Hardware Lane, Central"
417957ee,439,54,7,2529.8,303.58,37.91,2871.29,2023-02-04,Shipped,Paid,"384 Hardware Lane, South"
224e169a,865,346,2,150.94,7.55,7.9,166.39,2023-01-09,Shipped,Paid,"174 Hardware Lane, Central"
19554a98,843,260,5,2127.8,383.0,18.86,2529.66,2023-11-02,Delivered,Paid,"743 Hardware Lane, North"
e31f0370,922,231,7,1824.41,328.39,31.22,2184.02,2023-10-28,Delivered,Unpaid,"707 Hardware Lane, South"
33ba93d1,315,4,1,392.39,19.62,21.04,433.05,2023-07-10,Shipped,Paid,"169 Hardware Lane, East"
851b7da2,515,332,1,186.43,9.32,13.73,209.48,2023-02-25,Delivered,Paid,"445 Hardware Lane, West"
c25dd2eb,149,7,7,998.62,49.93,38.48,1087.03,2023-02-24,Pending,Paid,"234 Hardware Lane, East"
3c8e7c04,798,203,4,129.48,23.31,36.83,189.62,2023-02-19,Pending,Paid,"767 Hardware Lane, South"
d446f289,333,159,8,3677.04,661.87,23.59,4362.5,2023-01-22,Delivered,Paid,"903 Hardware Lane, Central"
b35b4735,981,37,8,3305.28,165.26,26.36,3496.9,2023-09-22,Pending,Paid,"414 Hardware Lane, East"
4484223e,362,279,4,1371.72,246.91,9.7,1628.33,2023-04-08,Delivered,Paid,"622 Hardware Lane, North"
9c94ddf2,1000,310,2,670.48,120.69,37.77,828.94,2023-09-29,Delivered,Unpaid,"724 Hardware Lane, North"
4bb273f0,192,135,3,387.42,19.37,40.29,447.08,2023-01-21,Shipped,Unpaid,"800 Hardware Lane, East"
591d12d2,625,5,2,548.42,98.72,16.49,663.63,2023-09-26,Pending,Unpaid,"745 Hardware Lane, Central"
69d180f4,371,166,9,1699.65,305.94,42.27,2047.86,2023-12-22,Pending,Paid,"610 Hardware Lane, West"
29d83889,884,132,7,2924.39,146.22,23.76,3094.37,2023-05-19,Pending,Unpaid,"646 Hardware Lane, East"
c06414e4,7,137,5,486.3,87.53,29.94,603.77,2023-04-22,Delivered,Paid,"495 Hardware Lane, West"
8e2f7c48,219,261,1,287.61,14.38,13.64,315.63,2023-04-11,Pending,Unpaid,"696 Hardware Lane, North"
828a53cf,10,235,7,694.4,83.33,15.17,792.9,2023-05-17,Shipped,Paid,"542 Hardware Lane, Central"
4cd6207b,286,92,9,2750.67,495.12,15.06,3260.85,2023-03-19,Shipped,Unpaid,"350 Hardware Lane, East"
6e3cdfd3,87,285,4,722.76,86.73,18.84,828.33,2023-01-30,Delivered,Paid,"874 Hardware Lane, Central"
9ed4594a,937,378,1,495.32,59.44,16.97,571.73,2023-07-19,Delivered,Paid,"654 Hardware Lane, Central"
6a87d5ea,142,168,9,2049.84,245.98,35.21,2331.03,2023-12-18,Pending,Unpaid,"763 Hardware Lane, East"
8418420d,763,315,7,104.23,5.21,23.25,132.69,2023-03-21,Pending,Paid,"188 Hardware Lane, North"
a36598fb,680,36,10,3487.6,418.51,48.18,3954.29,2023-05-14,Delivered,Paid,"533 Hardware Lane, North"
7bbd2c2c,912,26,1,369.53,18.48,15.35,403.36,2023-12-15,Delivered,Unpaid,"727 Hardware Lane, South"
17ece8b0,651,10,8,2750.4,330.05,48.53,3128.98,2023-07-25,Delivered,Paid,"464 Hardware Lane, East"
af2a702c,658,146,10,336.2,16.81,9.3,362.31,2023-11-12,Delivered,Paid,"447 Hardware Lane, South"
b64bc369,542,182,2,680.32,81.64,30.7,792.66,2023-03-26,Pending,Paid,"588 Hardware Lane, North"
919d59bc,476,191,2,463.42,23.17,6.1,492.69,2023-07-28,Pending,Unpaid,"763 Hardware Lane, West"
