CustomerID,CustomerName,ContactNumber,Email,Location,JoinDate,CustomerType
36,Customer_36,+1-910-7688,customer36@example.com,East,2021-02-15,Wholesale
37,Customer_37,+1-700-7517,customer37@example.com,East,2022-01-23,Retail
38,Customer_38,+1-112-3438,customer38@example.com,Central,2020-09-17,Retail
39,Customer_39,+1-808-5539,customer39@example.com,West,2020-08-29,Retail
40,Customer_40,+1-260-7014,customer40@example.com,North,2023-10-30,Retail
41,Customer_41,+1-317-7726,customer41@example.com,East,2023-08-12,Wholesale
42,Customer_42,+1-170-2426,customer42@example.com,West,2020-11-23,Retail
43,Customer_43,+1-981-1115,customer43@example.com,East,2022-11-16,Wholesale
44,Customer_44,+1-602-7205,customer44@example.com,East,2020-07-26,Wholesale
45,Customer_45,+1-205-6190,customer45@example.com,East,2021-01-18,Retail
46,Customer_46,+1-577-5196,customer46@example.com,East,2022-04-24,Wholesale
47,Customer_47,+1-749-2227,customer47@example.com,North,2020-06-30,Wholesale
48,Customer_48,+1-488-3512,customer48@example.com,North,2021-09-16,Retail
49,Customer_49,+1-250-1834,customer49@example.com,South,2023-08-08,Wholesale
50,Customer_50,+1-601-4110,customer50@example.com,North,2022-04-27,Retail
51,Customer_51,+1-529-8588,customer51@example.com,South,2021-09-13,Retail
52,Customer_52,+1-166-9794,customer52@example.com,Central,2021-06-10,Retail
53,Customer_53,+1-355-2645,customer53@example.com,West,2020-01-17,Retail
54,Customer_54,+1-450-6717,customer54@example.com,Central,2020-07-19,Wholesale
55,Customer_55,+1-141-7039,customer55@example.com,Central,2020-01-28,Wholesale
56,Customer_56,+1-596-1965,customer56@example.com,West,2023-10-30,Retail
57,Customer_57,+1-697-5510,customer57@example.com,East,2020-03-15,Retail
58,Customer_58,+1-449-6206,customer58@example.com,East,2023-01-25,Retail
59,Customer_59,+1-189-2689,customer59@example.com,North,2022-07-13,Retail
60,Customer_60,+1-810-8990,customer60@example.com,North,2023-03-16,Wholesale
61,Customer_61,+1-824-1487,customer61@example.com,North,2023-05-30,Wholesale
62,Customer_62,+1-139-4986,customer62@example.com,East,2020-01-12,Retail
63,Customer_63,+1-505-3019,customer63@example.com,East,2021-10-29,Retail
64,Customer_64,+1-761-2133,customer64@example.com,Central,2022-03-15,Retail
65,Customer_65,+1-625-3021,customer65@example.com,West,2022-06-06,Wholesale
66,Customer_66,+1-149-6166,customer66@example.com,West,2023-06-10,Wholesale
67,Customer_67,+1-165-5622,customer67@example.com,East,2022-06-20,Retail
68,Customer_68,+1-239-8092,customer68@example.com,East,2023-01-26,Wholesale
69,Customer_69,+1-848-4610,customer69@example.com,South,2023-09-01,Wholesale
70,Customer_70,+1-445-9266,customer70@example.com,North,2020-07-30,Retail
71,Customer_71,+1-343-7025,customer71@example.com,West,2020-09-10,Retail
72,Customer_72,+1-306-7146,customer72@example.com,Central,2022-07-13,Retail
73,Customer_73,+1-287-7486,customer73@example.com,North,2022-05-18,Wholesale
74,Customer_74,+1-712-9530,customer74@example.com,South,2020-07-09,Wholesale
75,Customer_75,+1-194-6684,customer75@example.com,Central,2022-06-04,Retail
76,Customer_76,+1-528-4107,customer76@example.com,Central,2022-01-22,Retail
77,Customer_77,+1-589-3594,customer77@example.com,North,2021-03-30,Retail
78,Customer_78,+1-483-3875,customer78@example.com,West,2021-09-15,Retail
79,Customer_79,+1-234-7728,customer79@example.com,East,2023-10-07,Wholesale
80,Customer_80,+1-662-4255,customer80@example.com,South,2021-12-14,Retail
81,Customer_81,+1-982-5779,customer81@example.com,West,2021-08-02,Wholesale
82,Customer_82,+1-823-8339,customer82@example.com,East,2021-10-03,Retail
83,Customer_83,+1-926-7123,customer83@example.com,Central,2021-06-25,Retail
84,Customer_84,+1-365-4946,customer84@example.com,East,2022-12-03,Wholesale
85,Customer_85,+1-689-9104,customer85@example.com,South,2022-03-22,Wholesale
86,Customer_86,+1-270-6289,customer86@example.com,North,2020-09-25,Wholesale
87,Customer_87,+1-555-7164,customer87@example.com,South,2021-08-20,Retail
88,Customer_88,+1-857-7311,customer88@example.com,Central,2021-07-13,Retail
89,Customer_89,+1-980-7286,customer89@example.com,North,2023-12-12,Retail
90,Customer_90,+1-462-2319,customer90@example.com,South,2023-01-17,Retail
91,Customer_91,+1-122-7894,customer91@example.com,East,2021-04-17,Retail
92,Customer_92,+1-199-2066,customer92@example.com,South,2022-03-01,Wholesale
93,Customer_93,+1-118-6185,customer93@example.com,North,2020-06-03,Wholesale
94,Customer_94,+1-158-1613,customer94@example.com,South,2020-09-13,Retail
95,Customer_95,+1-515-7764,customer95@example.com,West,2023-05-27,Wholesale
96,Customer_96,+1-977-4076,customer96@example.com,East,2020-09-27,Retail
97,Customer_97,+1-146-3802,customer97@example.com,East,2022-10-19,Retail
98,Customer_98,+1-591-4112,customer98@example.com,South,2021-07-14,Wholesale
99,Customer_99,+1-279-3573,customer99@example.com,West,2022-11-11,Wholesale
100,Customer_100,+1-943-8994,customer100@example.com,East,2023-05-23,Retail
101,Customer_101,+1-944-9314,customer101@example.com,North,2020-05-31,Wholesale
102,Customer_102,+1-218-2273,customer102@example.com,North,2023-08-18,Wholesale
103,Customer_103,+1-985-9172,customer103@example.com,South,2023-02-19,Wholesale
104,Customer_104,+1-276-7372,customer104@example.com,South,2022-05-05,Retail
105,Customer_105,+1-324-9097,customer105@example.com,Central,2022-06-09,Retail
106,Customer_106,+1-986-6507,customer106@example.com,West,2022-11-04,Retail
107,Customer_107,+1-419-2953,customer107@example.com,North,2023-09-15,Wholesale
108,Customer_108,+1-326-7420,customer108@example.com,South,2021-03-20,Retail
109,Customer_109,+1-358-7927,customer109@example.com,South,2022-07-10,Retail
110,Customer_110,+1-739-9747,customer110@example.com,West,2023-02-17,Wholesale
111,Customer_111,+1-711-2604,customer111@example.com,East,2020-07-03,Retail
112,Customer_112,+1-278-2742,customer112@example.com,North,2021-05-20,Wholesale
113,Customer_113,+1-526-4144,customer113@example.com,South,2022-09-03,Wholesale
114,Customer_114,+1-383-4713,customer114@example.com,South,2021-09-26,Retail
115,Customer_115,+1-596-8408,customer115@example.com,Central,2023-04-03,Retail
116,Customer_116,+1-438-8028,customer116@example.com,North,2023-07-08,Retail
117,Customer_117,+1-463-7486,customer117@example.com,East,2023-08-30,Retail
118,Customer_118,+1-513-5074,customer118@example.com,South,2021-05-02,Wholesale
119,Customer_119,+1-563-1103,customer119@example.com,East,2022-11-15,Retail
120,Customer_120,+1-877-9167,customer120@example.com,East,2023-12-09,Retail
121,Customer_121,+1-896-1850,customer121@example.com,South,2022-04-16,Wholesale
122,Customer_122,+1-531-5427,customer122@example.com,West,2021-05-20,Wholesale
123,Customer_123,+1-141-6447,customer123@example.com,North,2021-03-03,Wholesale
124,Customer_124,+1-272-7696,customer124@example.com,South,2021-08-29,Wholesale
125,Customer_125,+1-234-5020,customer125@example.com,West,2023-01-23,Wholesale
126,Customer_126,+1-118-2925,customer126@example.com,East,2020-11-10,Wholesale
127,Customer_127,+1-315-8384,customer127@example.com,South,2020-07-02,Retail
128,Customer_128,+1-453-6029,customer128@example.com,North,2021-04-12,Wholesale
129,Customer_129,+1-957-3547,customer129@example.com,North,2020-06-28,Retail
130,Customer_130,+1-359-7084,customer130@example.com,South,2021-10-04,Wholesale
131,Customer_131,+1-237-5803,customer131@example.com,East,2021-06-25,Wholesale
132,Customer_132,+1-691-8744,customer132@example.com,West,2022-05-31,Retail
133,Customer_133,+1-633-9002,customer133@example.com,Central,2021-05-06,Retail
134,Customer_134,+1-618-2516,customer134@example.com,Central,2021-10-11,Wholesale
135,Customer_135,+1-712-3845,customer135@example.com,Central,2022-01-21,Wholesale
136,Customer_136,+1-211-4554,customer136@example.com,South,2023-07-31,Retail
137,Customer_137,+1-453-2826,customer137@example.com,East,2020-11-20,Retail
138,Customer_138,+1-483-3811,customer138@example.com,North,2022-02-25,Wholesale
139,Customer_139,+1-784-2628,customer139@example.com,West,2020-04-14,Retail
140,Customer_140,+1-591-2216,customer140@example.com,West,2023-02-01,Wholesale
141,Customer_141,+1-232-2632,customer141@example.com,North,2022-10-11,Retail
142,Customer_142,+1-779-7902,customer142@example.com,West,2021-07-15,Retail
143,Customer_143,+1-904-4957,customer143@example.com,East,2023-07-18,Wholesale
144,Customer_144,+1-972-8185,customer144@example.com,North,2023-07-10,Retail
145,Customer_145,+1-537-4921,customer145@example.com,North,2021-02-10,Retail
146,Customer_146,+1-374-5497,customer146@example.com,West,2021-03-19,Retail
147,Customer_147,+1-276-4298,customer147@example.com,Central,2021-10-29,Retail
148,Customer_148,+1-663-1541,customer148@example.com,East,2022-04-11,Retail
149,Customer_149,+1-381-7379,customer149@example.com,East,2022-04-22,Retail
150,Customer_150,+1-741-8963,customer150@example.com,West,2021-01-24,Wholesale
151,Customer_151,+1-207-7738,customer151@example.com,East,2022-01-07,Wholesale
152,Customer_152,+1-808-7417,customer152@example.com,North,2023-06-21,Retail
153,Customer_153,+1-526-9497,customer153@example.com,North,2021-03-25,Wholesale
154,Customer_154,+1-970-8382,customer154@example.com,North,2022-08-30,Retail
155,Customer_155,+1-150-3709,customer155@example.com,North,2023-08-21,Retail
156,Customer_156,+1-448-7710,customer156@example.com,West,2023-10-19,Wholesale
157,Customer_157,+1-200-4820,customer157@example.com,West,2022-01-09,Wholesale
158,Customer_158,+1-376-1423,customer158@example.com,Central,2021-06-07,Retail
159,Customer_159,+1-669-6390,customer159@example.com,East,2023-02-27,Wholesale
160,Customer_160,+1-627-6418,customer160@example.com,Central,2023-12-22,Retail
161,Customer_161,+1-865-8238,customer161@example.com,North,2023-01-21,Retail
162,Customer_162,+1-360-3038,customer162@example.com,West,2023-11-01,Wholesale
163,Customer_163,+1-976-9847,customer163@example.com,West,2021-03-14,Retail
164,Customer_164,+1-966-4347,customer164@example.com,South,2020-05-24,Retail
165,Customer_165,+1-785-1177,customer165@example.com,East,2021-08-01,Wholesale
166,Customer_166,+1-256-3237,customer166@example.com,North,2020-09-24,Retail
167,Customer_167,+1-263-1583,customer167@example.com,Central,2023-07-27,Retail
168,Customer_168,+1-193-9210,customer168@example.com,West,2020-02-14,Retail
169,Customer_169,+1-770-3667,customer169@example.com,Central,2020-01-06,Wholesale
170,Customer_170,+1-129-2461,customer170@example.com,North,2020-05-18,Retail
171,Customer_171,+1-326-4169,customer171@example.com,Central,2020-12-18,Wholesale
172,Customer_172,+1-311-7462,customer172@example.com,South,2021-02-26,Retail
173,Customer_173,+1-391-9178,customer173@example.com,West,2021-01-17,Retail
174,Customer_174,+1-196-9446,customer174@example.com,South,2022-03-20,Retail
175,Customer_175,+1-545-2974,customer175@example.com,East,2023-01-12,Retail
176,Customer_176,+1-281-7383,customer176@example.com,North,2023-06-15,Retail
177,Customer_177,+1-286-5724,customer177@example.com,Central,2021-06-19,Retail
178,Customer_178,+1-474-3998,customer178@example.com,Central,2020-01-12,Wholesale
179,Customer_179,+1-408-1691,customer179@example.com,North,2022-06-02,Wholesale
180,Customer_180,+1-497-6727,customer180@example.com,South,2020-09-22,Wholesale
181,Customer_181,+1-316-4336,customer181@example.com,South,2020-08-11,Wholesale
182,Customer_182,+1-337-1822,customer182@example.com,North,2020-12-08,Retail
183,Customer_183,+1-991-1751,customer183@example.com,West,2020-10-30,Retail
184,Customer_184,+1-735-6810,customer184@example.com,Central,2021-05-09,Retail
185,Customer_185,+1-244-6661,customer185@example.com,North,2021-05-28,Wholesale
186,Customer_186,+1-782-4907,customer186@example.com,North,2020-06-06,Retail
187,Customer_187,+1-564-4398,customer187@example.com,West,2022-10-16,Wholesale
188,Customer_188,+1-529-7509,customer188@example.com,South,2022-10-03,Wholesale
189,Customer_189,+1-330-3427,customer189@example.com,North,2022-08-02,Retail
190,Customer_190,+1-838-8090,customer190@example.com,North,2020-09-26,Retail
191,Customer_191,+1-627-7404,customer191@example.com,North,2021-08-16,Wholesale
192,Customer_192,+1-726-4697,customer192@example.com,East,2021-08-13,Retail
193,Customer_193,+1-601-3366,customer193@example.com,West,2022-08-09,Retail
194,Customer_194,+1-521-6086,customer194@example.com,West,2020-05-11,Wholesale
195,Customer_195,+1-529-1444,customer195@example.com,Central,2022-10-08,Retail
196,Customer_196,+1-865-7663,customer196@example.com,Central,2022-08-18,Wholesale
197,Customer_197,+1-607-1707,customer197@example.com,South,2022-08-26,Retail
198,Customer_198,+1-926-1719,customer198@example.com,Central,2020-05-21,Retail
199,Customer_199,+1-238-4538,customer199@example.com,North,2022-05-10,Retail
200,Customer_200,+1-192-1240,customer200@example.com,North,2023-01-22,Retail
201,Customer_201,+1-734-8822,customer201@example.com,Central,2021-09-08,Retail
202,Customer_202,+1-607-8262,customer202@example.com,South,2021-05-05,Retail
203,Customer_203,+1-240-4662,customer203@example.com,Central,2021-08-31,Wholesale
204,Customer_204,+1-716-1606,customer204@example.com,North,2022-02-03,Wholesale
205,Customer_205,+1-802-7011,customer205@example.com,North,2022-04-07,Wholesale
206,Customer_206,+1-676-1158,customer206@example.com,North,2021-11-06,Wholesale
207,Customer_207,+1-284-8261,customer207@example.com,East,2020-09-01,Wholesale
208,Customer_208,+1-578-1978,customer208@example.com,East,2022-01-05,Wholesale
209,Customer_209,+1-129-3986,customer209@example.com,West,2020-07-28,Retail
210,Customer_210,+1-444-9842,customer210@example.com,Central,2021-06-20,Retail
211,Customer_211,+1-245-2808,customer211@example.com,North,2021-10-02,Retail
212,Customer_212,+1-979-5583,customer212@example.com,Central,2023-09-25,Retail
213,Customer_213,+1-507-2296,customer213@example.com,Central,2020-03-03,Wholesale
214,Customer_214,+1-311-8060,customer214@example.com,South,2022-05-12,Retail
215,Customer_215,+1-633-7478,customer215@example.com,East,2023-06-26,Retail
216,Customer_216,+1-943-5123,customer216@example.com,East,2023-03-16,Wholesale
217,Customer_217,+1-292-9579,customer217@example.com,West,2022-10-20,Retail
218,Customer_218,+1-241-1613,customer218@example.com,East,2023-05-26,Wholesale
219,Customer_219,+1-947-6512,customer219@example.com,Central,2020-10-04,Wholesale
220,Customer_220,+1-439-9779,customer220@example.com,East,2021-07-25,Retail
221,Customer_221,+1-578-4004,customer221@example.com,West,2023-07-11,Wholesale
222,Customer_222,+1-861-2711,customer222@example.com,South,2020-03-21,Retail
223,Customer_223,+1-278-9445,customer223@example.com,Central,2023-02-08,Retail
224,Customer_224,+1-986-7449,customer224@example.com,Central,2021-02-11,Wholesale
225,Customer_225,+1-566-2119,customer225@example.com,East,2023-03-07,Retail
226,Customer_226,+1-206-2866,customer226@example.com,West,2022-04-16,Wholesale
227,Customer_227,+1-304-4226,customer227@example.com,North,2022-10-08,Retail
228,Customer_228,+1-845-4067,customer228@example.com,South,2022-12-03,Retail
229,Customer_229,+1-656-9445,customer229@example.com,North,2020-09-26,Retail
230,Customer_230,+1-327-1220,customer230@example.com,East,2020-02-15,Wholesale
231,Customer_231,+1-464-6814,customer231@example.com,Central,2021-12-09,Retail
232,Customer_232,+1-906-6661,customer232@example.com,West,2020-07-23,Wholesale
233,Customer_233,+1-259-2791,customer233@example.com,North,2023-11-05,Retail
234,Customer_234,+1-199-8265,customer234@example.com,Central,2022-12-25,Wholesale
235,Customer_235,+1-722-4241,customer235@example.com,North,2021-09-29,Wholesale
236,Customer_236,+1-155-6525,customer236@example.com,West,2023-11-09,Retail
237,Customer_237,+1-410-6212,customer237@example.com,Central,2022-02-10,Wholesale
238,Customer_238,+1-763-7321,customer238@example.com,Central,2023-01-11,Wholesale
239,Customer_239,+1-720-5561,customer239@example.com,North,2020-12-11,Wholesale
240,Customer_240,+1-262-1890,customer240@example.com,West,2022-10-24,Wholesale
241,Customer_241,+1-234-7334,customer241@example.com,North,2021-06-07,Wholesale
242,Customer_242,+1-836-1567,customer242@example.com,North,2022-04-01,Wholesale
243,Customer_243,+1-487-3292,customer243@example.com,Central,2020-01-20,Retail
244,Customer_244,+1-640-9806,customer244@example.com,West,2023-02-09,Wholesale
245,Customer_245,+1-942-2654,customer245@example.com,Central,2021-03-10,Retail
246,Customer_246,+1-355-4754,customer246@example.com,Central,2020-05-01,Wholesale
247,Customer_247,+1-963-1578,customer247@example.com,East,2023-04-27,Wholesale
248,Customer_248,+1-952-3420,customer248@example.com,Central,2020-12-29,Retail
249,Customer_249,+1-983-5500,customer249@example.com,South,2022-09-08,Wholesale
250,Customer_250,+1-914-3129,customer250@example.com,Central,2021-03-28,Retail
251,Customer_251,+1-414-6394,customer251@example.com,South,2023-01-12,Retail
252,Customer_252,+1-985-8033,customer252@example.com,West,2020-07-24,Retail
253,Customer_253,+1-951-5295,customer253@example.com,Central,2023-07-29,Retail
254,Customer_254,+1-499-2418,customer254@example.com,South,2022-10-25,Wholesale
255,Customer_255,+1-312-7997,customer255@example.com,North,2020-08-28,Retail
256,Customer_256,+1-634-9851,customer256@example.com,East,2020-06-10,Retail
257,Customer_257,+1-170-5096,customer257@example.com,North,2023-11-15,Retail
258,Customer_258,+1-869-8818,customer258@example.com,Central,2023-12-22,Retail
259,Customer_259,+1-137-7499,customer259@example.com,Central,2021-07-26,Wholesale
260,Customer_260,+1-449-3209,customer260@example.com,Central,2021-06-27,Retail
261,Customer_261,+1-601-8638,customer261@example.com,West,2022-06-21,Wholesale
262,Customer_262,+1-833-8881,customer262@example.com,Central,2023-08-10,Retail
263,Customer_263,+1-900-3424,customer263@example.com,North,2022-06-26,Retail
264,Customer_264,+1-532-9104,customer264@example.com,South,2023-04-15,Retail
265,Customer_265,+1-322-4991,customer265@example.com,West,2022-02-11,Retail
266,Customer_266,+1-587-7540,customer266@example.com,West,2020-04-13,Retail
267,Customer_267,+1-529-9181,customer267@example.com,Central,2021-10-20,Wholesale
268,Customer_268,+1-715-1082,customer268@example.com,Central,2023-06-20,Wholesale
269,Customer_269,+1-908-4741,customer269@example.com,West,2023-08-04,Wholesale
270,Customer_270,+1-965-8111,customer270@example.com,North,2022-04-17,Wholesale
271,Customer_271,+1-298-4772,customer271@example.com,East,2021-09-24,Retail
272,Customer_272,+1-997-3260,customer272@example.com,Central,2020-01-10,Retail
273,Customer_273,+1-999-8495,customer273@example.com,North,2020-04-10,Wholesale
274,Customer_274,+1-626-3573,customer274@example.com,West,2020-12-24,Wholesale
275,Customer_275,+1-296-6680,customer275@example.com,Central,2023-02-16,Wholesale
276,Customer_276,+1-283-6775,customer276@example.com,South,2022-10-18,Retail
277,Customer_277,+1-695-7827,customer277@example.com,Central,2022-05-08,Retail
278,Customer_278,+1-832-3001,customer278@example.com,South,2023-10-24,Wholesale
279,Customer_279,+1-982-7617,customer279@example.com,South,2022-01-30,Retail
280,Customer_280,+1-922-3375,customer280@example.com,Central,2023-07-07,Wholesale
281,Customer_281,+1-598-4671,customer281@example.com,North,2023-07-17,Wholesale
282,Customer_282,+1-303-2566,customer282@example.com,South,2023-05-07,Wholesale
283,Customer_283,+1-244-5005,customer283@example.com,Central,2021-04-16,Wholesale
284,Customer_284,+1-408-4653,customer284@example.com,East,2023-02-18,Retail
285,Customer_285,+1-819-9332,customer285@example.com,South,2023-12-31,Wholesale
286,Customer_286,+1-676-8904,customer286@example.com,South,2023-06-25,Wholesale
287,Customer_287,+1-224-7328,customer287@example.com,South,2023-09-28,Retail
288,Customer_288,+1-186-6659,customer288@example.com,Central,2022-07-10,Wholesale
289,Customer_289,+1-986-1109,customer289@example.com,East,2021-02-01,Wholesale
290,Customer_290,+1-659-4424,customer290@example.com,South,2020-05-25,Retail
291,Customer_291,+1-456-9740,customer291@example.com,West,2020-02-08,Wholesale
292,Customer_292,+1-165-3093,customer292@example.com,West,2022-12-22,Wholesale
293,Customer_293,+1-175-7742,customer293@example.com,South,2022-09-03,Wholesale
294,Customer_294,+1-851-6186,customer294@example.com,South,2023-11-28,Retail
295,Customer_295,+1-115-8236,customer295@example.com,West,2021-08-03,Wholesale
296,Customer_296,+1-404-2391,customer296@example.com,Central,2022-02-14,Retail
297,Customer_297,+1-935-3183,customer297@example.com,Central,2021-06-18,Retail
298,Customer_298,+1-450-2847,customer298@example.com,Central,2021-02-24,Wholesale
299,Customer_299,+1-218-4411,customer299@example.com,West,2021-08-11,Wholesale
300,Customer_300,+1-104-1494,customer300@example.com,West,2023-06-24,Wholesale
301,Customer_301,+1-551-8359,customer301@example.com,Central,2020-04-06,Wholesale
302,Customer_302,+1-853-8119,customer302@example.com,North,2021-10-14,Wholesale
303,Customer_303,+1-925-1174,customer303@example.com,West,2023-04-06,Retail
304,Customer_304,+1-581-9324,customer304@example.com,West,2022-03-02,Wholesale
305,Customer_305,+1-906-5876,customer305@example.com,Central,2020-02-27,Wholesale
306,Customer_306,+1-130-4166,customer306@example.com,North,2021-05-05,Retail
307,Customer_307,+1-455-4362,customer307@example.com,East,2021-02-13,Retail
308,Customer_308,+1-459-9901,customer308@example.com,West,2020-02-24,Wholesale
309,Customer_309,+1-150-1284,customer309@example.com,South,2023-05-05,Wholesale
310,Customer_310,+1-540-1933,customer310@example.com,East,2022-06-16,Wholesale
311,Customer_311,+1-264-8516,customer311@example.com,Central,2022-02-07,Retail
312,Customer_312,+1-923-7606,customer312@example.com,East,2021-07-07,Retail
313,Customer_313,+1-546-9698,customer313@example.com,South,2020-08-17,Retail
314,Customer_314,+1-825-7403,customer314@example.com,North,2020-09-18,Retail
315,Customer_315,+1-194-2669,customer315@example.com,South,2020-02-28,Wholesale
316,Customer_316,+1-732-8303,customer316@example.com,West,2021-08-24,Retail
317,Customer_317,+1-989-2756,customer317@example.com,West,2020-06-03,Retail
318,Customer_318,+1-867-5025,customer318@example.com,West,2021-04-03,Wholesale
319,Customer_319,+1-873-4658,customer319@example.com,West,2022-12-18,Wholesale
320,Customer_320,+1-618-4131,customer320@example.com,South,2020-01-10,Retail
321,Customer_321,+1-640-9725,customer321@example.com,North,2022-11-20,Retail
322,Customer_322,+1-623-2300,customer322@example.com,West,2022-11-30,Wholesale
323,Customer_323,+1-398-7520,customer323@example.com,North,2021-03-07,Wholesale
324,Customer_324,+1-330-7079,customer324@example.com,South,2023-07-20,Retail
325,Customer_325,+1-494-2075,customer325@example.com,Central,2020-11-02,Retail
326,Customer_326,+1-982-7268,customer326@example.com,North,2023-12-15,Retail
327,Customer_327,+1-928-1202,customer327@example.com,North,2020-01-06,Wholesale
328,Customer_328,+1-430-7592,customer328@example.com,North,2022-03-03,Wholesale
329,Customer_329,+1-825-7069,customer329@example.com,North,2023-06-10,Retail
330,Customer_330,+1-775-8442,customer330@example.com,West,2020-11-02,Wholesale
331,Customer_331,+1-214-7873,customer331@example.com,East,2023-07-24,Retail
332,Customer_332,+1-428-1057,customer332@example.com,North,2023-02-17,Wholesale
333,Customer_333,+1-610-3299,customer333@example.com,North,2022-04-17,Retail
334,Customer_334,+1-617-7943,customer334@example.com,South,2021-06-13,Wholesale
335,Customer_335,+1-332-8070,customer335@example.com,South,2022-05-15,Retail
336,Customer_336,+1-793-2665,customer336@example.com,West,2020-01-28,Retail
337,Customer_337,+1-593-4243,customer337@example.com,South,2022-01-25,Wholesale
338,Customer_338,+1-178-7649,customer338@example.com,East,2022-09-04,Retail
339,Customer_339,+1-292-9735,customer339@example.com,Central,2021-02-24,Wholesale
340,Customer_340,+1-672-8541,customer340@example.com,North,2022-08-01,Wholesale
341,Customer_341,+1-885-8903,customer341@example.com,Central,2021-10-30,Retail
342,Customer_342,+1-170-2686,customer342@example.com,West,2023-12-23,Retail
343,Customer_343,+1-289-6187,customer343@example.com,South,2022-12-02,Retail
344,Customer_344,+1-264-2399,customer344@example.com,South,2023-03-31,Retail
345,Customer_345,+1-432-5923,customer345@example.com,South,2021-07-28,Retail
346,Customer_346,+1-407-5729,customer346@example.com,West,2022-12-24,Wholesale
347,Customer_347,+1-619-6356,customer347@example.com,East,2021-01-04,Wholesale
348,Customer_348,+1-388-1286,customer348@example.com,East,2021-01-02,Wholesale
349,Customer_349,+1-957-8288,customer349@example.com,Central,2022-11-25,Wholesale
350,Customer_350,+1-575-8113,customer350@example.com,Central,2023-03-25,Wholesale
351,Customer_351,+1-833-8976,customer351@example.com,West,2020-07-01,Wholesale
352,Customer_352,+1-783-3264,customer352@example.com,West,2021-03-27,Wholesale
353,Customer_353,+1-928-8086,customer353@example.com,Central,2023-03-31,Retail
354,Customer_354,+1-518-6455,customer354@example.com,East,2020-08-31,Wholesale
355,Customer_355,+1-635-1989,customer355@example.com,West,2021-12-18,Wholesale
356,Customer_356,+1-811-5643,customer356@example.com,West,2020-09-25,Wholesale
357,Customer_357,+1-602-7343,customer357@example.com,South,2020-12-30,Wholesale
358,Customer_358,+1-439-2926,customer358@example.com,North,2022-09-25,Wholesale
359,Customer_359,+1-905-9842,customer359@example.com,Central,2023-08-12,Wholesale
360,Customer_360,+1-938-6637,customer360@example.com,North,2023-03-16,Retail
361,Customer_361,+1-983-6868,customer361@example.com,East,2022-11-18,Wholesale
362,Customer_362,+1-105-2409,customer362@example.com,South,2023-06-05,Wholesale
363,Customer_363,+1-532-4657,customer363@example.com,North,2020-01-24,Wholesale
364,Customer_364,+1-156-4757,customer364@example.com,East,2023-05-26,Retail
